edgename	CI	
par1 (pp3) par2	83.053855	
par1 (pp3) par6	83.053855	
par2 (pp3) par6	83.053855	
par1 (pp3) par3	106.66255	
par1 (pp3) par6	106.66255	
par3 (pp3) par6	106.66255	
par1 (pp3) par4	91.900704	
par1 (pp3) par6	91.900704	
par4 (pp3) par6	91.900704	
par1 (pp3) par5	109.93242	
par1 (pp3) par6	109.93242	
par5 (pp3) par6	109.93242	
par1 (pp3) par6	107.3198	
par1 (pp3) par7	107.3198	
par6 (pp3) par7	107.3198	
par1 (pp3) par6	94.952085	
par1 (pp3) par8	94.952085	
par6 (pp3) par8	94.952085	
par1 (pp3) par44	53.233361	
par1 (pp3) par70	53.233361	
par44 (pp3) par70	53.233361	
par1 (pp3) par45	22.963238	
par1 (pp3) par70	22.963238	
par45 (pp3) par70	22.963238	
par1 (pp3) par46	190.25849	
par1 (pp3) par69	190.25849	
par46 (pp3) par69	190.25849	
par1 (pp3) par47	25.540738	
par1 (pp3) par70	25.540738	
par47 (pp3) par70	25.540738	
par1 (pp3) par48	25.540738	
par1 (pp3) par70	25.540738	
par48 (pp3) par70	25.540738	
par1 (pp3) par49	25.623977	
par1 (pp3) par70	25.623977	
par49 (pp3) par70	25.623977	
par1 (pp3) par50	22.355148	
par1 (pp3) par69	22.355148	
par50 (pp3) par69	22.355148	
par1 (pp3) par50	78.601976	
par1 (pp3) par70	78.601976	
par50 (pp3) par70	78.601976	
par1 (pp3) par58	20.356763	
par1 (pp3) par91	20.356763	
par58 (pp3) par91	20.356763	
par1 (pp3) par70	92.897225	
par1 (pp3) par107	92.897225	
par70 (pp3) par107	92.897225	
par1 (pp3) par70	52.628574	
par1 (pp3) par108	52.628574	
par70 (pp3) par108	52.628574	
par2 (pp3) par44	39.507998	
par2 (pp3) par70	39.507998	
par44 (pp3) par70	39.507998	
par2 (pp3) par46	143.59343	
par2 (pp3) par69	143.59343	
par46 (pp3) par69	143.59343	
par2 (pp3) par46	20.126828	
par2 (pp3) par70	20.126828	
par46 (pp3) par70	20.126828	
par2 (pp3) par47	21.160038	
par2 (pp3) par70	21.160038	
par47 (pp3) par70	21.160038	
par2 (pp3) par48	21.160038	
par2 (pp3) par70	21.160038	
par48 (pp3) par70	21.160038	
par2 (pp3) par49	21.203239	
par2 (pp3) par70	21.203239	
par49 (pp3) par70	21.203239	
par2 (pp3) par50	767.51423	
par2 (pp3) par70	767.51423	
par50 (pp3) par70	767.51423	
par2 (pp3) par58	20.323012	
par2 (pp3) par91	20.323012	
par58 (pp3) par91	20.323012	
par2 (pp3) par70	68.637052	
par2 (pp3) par107	68.637052	
par70 (pp3) par107	68.637052	
par2 (pp3) par70	39.116898	
par2 (pp3) par108	39.116898	
par70 (pp3) par108	39.116898	
par3 (pp3) par44	36.715066	
par3 (pp3) par70	36.715066	
par44 (pp3) par70	36.715066	
par3 (pp3) par46	105.52061	
par3 (pp3) par69	105.52061	
par46 (pp3) par69	105.52061	
par3 (pp3) par46	20.896446	
par3 (pp3) par70	20.896446	
par46 (pp3) par70	20.896446	
par3 (pp3) par47	20.322003	
par3 (pp3) par70	20.322003	
par47 (pp3) par70	20.322003	
par3 (pp3) par48	20.322003	
par3 (pp3) par70	20.322003	
par48 (pp3) par70	20.322003	
par3 (pp3) par49	20.364038	
par3 (pp3) par70	20.364038	
par49 (pp3) par70	20.364038	
par3 (pp3) par50	582.61703	
par3 (pp3) par70	582.61703	
par50 (pp3) par70	582.61703	
par3 (pp3) par58	20.296768	
par3 (pp3) par91	20.296768	
par58 (pp3) par91	20.296768	
par3 (pp3) par70	60.65272	
par3 (pp3) par107	60.65272	
par70 (pp3) par107	60.65272	
par3 (pp3) par70	36.373643	
par3 (pp3) par108	36.373643	
par70 (pp3) par108	36.373643	
par4 (pp3) par44	42.014892	
par4 (pp3) par70	42.014892	
par44 (pp3) par70	42.014892	
par4 (pp3) par46	204.27128	
par4 (pp3) par69	204.27128	
par46 (pp3) par69	204.27128	
par4 (pp3) par47	21.900928	
par4 (pp3) par70	21.900928	
par47 (pp3) par70	21.900928	
par4 (pp3) par48	21.900928	
par4 (pp3) par70	21.900928	
par48 (pp3) par70	21.900928	
par4 (pp3) par49	21.948709	
par4 (pp3) par70	21.948709	
par49 (pp3) par70	21.948709	
par4 (pp3) par50	307.86644	
par4 (pp3) par70	307.86644	
par50 (pp3) par70	307.86644	
par4 (pp3) par58	20.330038	
par4 (pp3) par91	20.330038	
par58 (pp3) par91	20.330038	
par4 (pp3) par70	75.983161	
par4 (pp3) par107	75.983161	
par70 (pp3) par107	75.983161	
par4 (pp3) par70	41.576511	
par4 (pp3) par108	41.576511	
par70 (pp3) par108	41.576511	
par5 (pp3) par44	41.371629	
par5 (pp3) par70	41.371629	
par44 (pp3) par70	41.371629	
par5 (pp3) par46	188.37902	
par5 (pp3) par69	188.37902	
par46 (pp3) par69	188.37902	
par5 (pp3) par47	21.717409	
par5 (pp3) par70	21.717409	
par47 (pp3) par70	21.717409	
par5 (pp3) par48	21.717409	
par5 (pp3) par70	21.717409	
par48 (pp3) par70	21.717409	
par5 (pp3) par49	21.766759	
par5 (pp3) par70	21.766759	
par49 (pp3) par70	21.766759	
par5 (pp3) par50	364.54384	
par5 (pp3) par70	364.54384	
par50 (pp3) par70	364.54384	
par5 (pp3) par58	20.324609	
par5 (pp3) par91	20.324609	
par58 (pp3) par91	20.324609	
par5 (pp3) par70	74.032248	
par5 (pp3) par107	74.032248	
par70 (pp3) par107	74.032248	
par5 (pp3) par70	40.944071	
par5 (pp3) par108	40.944071	
par70 (pp3) par108	40.944071	
par6 (pp3) par44	41.05375	
par6 (pp3) par70	41.05375	
par44 (pp3) par70	41.05375	
par6 (pp3) par45	27.433444	
par6 (pp3) par70	27.433444	
par45 (pp3) par70	27.433444	
par6 (pp3) par46	38.648026	
par6 (pp3) par69	38.648026	
par46 (pp3) par69	38.648026	
par6 (pp3) par47	29.895828	
par6 (pp3) par70	29.895828	
par47 (pp3) par70	29.895828	
par6 (pp3) par48	29.895828	
par6 (pp3) par70	29.895828	
par48 (pp3) par70	29.895828	
par6 (pp3) par49	30.012035	
par6 (pp3) par70	30.012035	
par49 (pp3) par70	30.012035	
par6 (pp3) par50	29.038306	
par6 (pp3) par69	29.038306	
par50 (pp3) par69	29.038306	
par6 (pp3) par50	30.735614	
par6 (pp3) par70	30.735614	
par50 (pp3) par70	30.735614	
par6 (pp3) par58	20.433587	
par6 (pp3) par91	20.433587	
par58 (pp3) par91	20.433587	
par6 (pp3) par69	21.271736	
par6 (pp3) par107	21.271736	
par69 (pp3) par107	21.271736	
par6 (pp3) par70	39.411514	
par6 (pp3) par107	39.411514	
par70 (pp3) par107	39.411514	
par6 (pp3) par70	41.040235	
par6 (pp3) par108	41.040235	
