edgename	CI	
par2 (pp) par3	41.2828	
par2 (pp) par4	51.8481	
par2 (pp) par5	65.0458	
par2 (pp) par7	105.039	
par2 (pp) par8	86.5236	
par3 (pp) par4	23.1821	
par3 (pp) par5	26.0311	
par3 (pp) par7	61.7803	
par3 (pp) par8	28.3233	
par4 (pp) par5	173.591	
par4 (pp) par7	36.662	
par4 (pp) par8	127.009	
par5 (pp) par7	44.7667	
par5 (pp) par8	218.428	
par7 (pp) par8	51.1305	
par9 (pp) par10	45.6413	
par9 (pp) par11	184.883	
par9 (pp) par12	48.6624	
par10 (pp) par11	36.7102	
par10 (pp) par12	734.888	
par11 (pp) par12	38.6363	
par13 (pp) par15	53.2501	
par14 (pp) par16	1245.82	
par17 (pp) par18	26.3741	
par17 (pp) par19	31.2494	
par17 (pp) par94	23.6591	
par17 (pp) par96	26.4268	
par18 (pp) par19	166.391	
par18 (pp) par94	228.196	
par18 (pp) par96	6457.43	
par19 (pp) par94	96.2594	
par19 (pp) par96	168.238	
par20 (pp) par93	6254.18	
par23 (pp) par24	69.6667	
par23 (pp) par25	437.288	
par24 (pp) par25	82.8019	
par26 (pp) par27	334.332	
par26 (pp) par28	382.417	
par26 (pp) par29	445.595	
par26 (pp) par30	1142.09	
par26 (pp) par31	1457.99	
par27 (pp) par28	2220.1	
par27 (pp) par29	1338.18	
par27 (pp) par30	472.595	
par27 (pp) par31	274.056	
par28 (pp) par29	2294.73	
par28 (pp) par30	573.789	
par28 (pp) par31	307.087	
par29 (pp) par30	730.091	
par29 (pp) par31	344.266	
par30 (pp) par31	649.673	
par33 (pp) par34	50.2057	
par33 (pp) par35	1079.34	
par34 (pp) par35	51.654	
par36 (pp) par37	93.9785	
par36 (pp) par38	109.544	
par36 (pp) par39	28.9691	
par36 (pp) par40	110.06	
par36 (pp) par41	250.719	
par36 (pp) par42	259.116	
par37 (pp) par38	652.143	
par37 (pp) par39	41.863	
par37 (pp) par40	641.325	
par37 (pp) par41	70.0671	
par37 (pp) par42	69.5006	
par38 (pp) par39	39.3811	
par38 (pp) par40	2890.82	
par38 (pp) par41	78.4986	
par38 (pp) par42	77.7571	
par39 (pp) par40	39.2991	
par39 (pp) par41	26.303	
par39 (pp) par42	26.1698	
par40 (pp) par41	78.4391	
par40 (pp) par42	77.8389	
par41 (pp) par42	1153.84	
par43 (pp) par45	32.3763	
par43 (pp) par47	28.5167	
par43 (pp) par48	28.5167	
par43 (pp) par49	28.3658	
par44 (pp) par45	36.6289	
par44 (pp) par47	44.6618	
par44 (pp) par48	44.6618	
par44 (pp) par49	44.7903	
par44 (pp) par50	37.7518	
par44 (pp) par107	91.1884	
par44 (pp) par108	2948.42	
par45 (pp) par47	178.683	
par45 (pp) par48	178.683	
par45 (pp) par49	189.592	
par45 (pp) par107	26.187	
par45 (pp) par108	36.9442	
par46 (pp) par50	20.0931	
par47 (pp) par48	3.34652e+15	
par47 (pp) par49	1180.77	
par47 (pp) par50	20.4778	
par47 (pp) par107	29.9852	
par47 (pp) par108	45.1631	
par48 (pp) par49	1180.77	
par48 (pp) par50	20.4778	
par48 (pp) par107	29.9852	
par48 (pp) par108	45.1631	
par49 (pp) par50	20.5235	
par49 (pp) par107	30.0556	
par49 (pp) par108	45.2844	
par50 (pp) par107	64.3299	
par50 (pp) par108	37.3891	
par51 (pp) par53	119.322	
par51 (pp) par54	26.4675	
par51 (pp) par55	167.811	
par51 (pp) par56	55.1377	
par51 (pp) par57	167.811	
par51 (pp) par89	35.2012	
par51 (pp) par90	159.151	
par51 (pp) par91	253	
par53 (pp) par54	21.9219	
par53 (pp) par55	199.227	
par53 (pp) par56	38.476	
par53 (pp) par57	199.227	
par53 (pp) par89	27.3755	
par53 (pp) par90	116.649	
par53 (pp) par91	88.053	
par54 (pp) par55	22.9363	
par54 (pp) par56	50.8439	
par54 (pp) par57	22.9363	
par54 (pp) par58	65.5732	
par54 (pp) par89	92.8965	
par54 (pp) par90	23.7361	
par54 (pp) par91	27.5668	
par55 (pp) par56	41.6634	
par55 (pp) par57	1.18515e+16	
par55 (pp) par89	29.3958	
par55 (pp) par90	247.31	
par55 (pp) par91	125.621	
par56 (pp) par57	41.6634	
par56 (pp) par58	28.6458	
par56 (pp) par89	90.1488	
par56 (pp) par90	43.843	
par56 (pp) par91	59.1383	
par57 (pp) par89	29.3958	
par57 (pp) par90	247.31	
par57 (pp) par91	125.621	
par58 (pp) par89	39.4021	
par59 (pp) par62	296.027	
par59 (pp) par63	358.286	
par59 (pp) par64	77.592	
par62 (pp) par63	241.305	
par62 (pp) par64	80.6069	
par63 (pp) par64	64.505	
par65 (pp) par66	77.7523	
par65 (pp) par67	70.6639	
par65 (pp) par68	42.9923	
par66 (pp) par67	37.2279	
par66 (pp) par68	27.7453	
par67 (pp) par68	108.547	
par71 (pp) par72	808.772	
par71 (pp) par73	410.299	
par71 (pp) par74	2489.3	
par72 (pp) par73	819.577	
par72 (pp) par74	629.593	
par73 (pp) par74	356.622	
par75 (pp) par76	50.9189	
par75 (pp) par77	52.008	
par75 (pp) par78	53.449	
par75 (pp) par79	31.1463	
par75 (pp) par81	47.7979	
par75 (pp) par82	48.9286	
par75 (pp) par83	31.2149	
par75 (pp) par84	34.9249	
par76 (pp) par77	2422.63	
par76 (pp) par78	1043.51	
par76 (pp) par79	79.3738	
par76 (pp) par81	779.111	
par76 (pp) par82	1251.29	
par76 (pp) par83	80.2926	
par76 (pp) par84	111.096	
par77 (pp) par78	1727.64	
par77 (pp) par79	76.934	
par77 (pp) par81	589.65	
par77 (pp) par82	825.681	
par77 (pp) par83	77.7625	
par77 (pp) par84	106.259	
par78 (pp) par79	73.772	
par78 (pp) par81	450.205	
par78 (pp) par82	573.574	
par78 (pp) par83	74.5914	
par78 (pp) par84	100.572	
par79 (pp) par81	88.1097	
par79 (pp) par82	84.6308	
par79 (pp) par83	1231.03	
par79 (pp) par84	257.122	
par81 (pp) par82	2060.72	
par81 (pp) par83	89.3784	
par81 (pp) par84	129.487	
par82 (pp) par83	85.7411	
par82 (pp) par84	121.897	
par83 (pp) par84	281.975	
par85 (pp) par86	187.454	
par85 (pp) par87	187.854	
par85 (pp) par88	936.994	
par86 (pp) par87	1135.43	
par86 (pp) par88	227.166	
par87 (pp) par88	222.26	
par89 (pp) par90	31.1315	
par89 (pp) par91	37.9042	
par90 (pp) par91	168.107	
par94 (pp) par96	224.69	
par97 (pp) par98	753.19	
par99 (pp) par100	53.4185	
par99 (pp) par101	68.6242	
par99 (pp) par102	804.782	
par99 (pp) par103	56.7741	
par100 (pp) par101	240.406	
par100 (pp) par102	51.3184	
par100 (pp) par103	879.571	
par101 (pp) par102	65.2428	
par101 (pp) par103	323.914	
par102 (pp) par103	54.363	
par104 (pp) par105	103.929	
par107 (pp) par108	89.1392	
par109 (pp) par110	79.7204	
par111 (pp) par112	35.5168	
par113 (pp) par114	135.721	
par115 (pp) par116	291.638	
par115 (pp) par117	399.406	
par116 (pp) par117	1024.3	
