edgename	CI	
kALDOeq (pp) kTISeq	30.307472	
KDAHPSe4p (pp) nDAHPSe4p	46.246425	
KDAHPSe4p (pp) rmaxDAHPS	34.96112	
KENOeq (pp) KPGluMueq	64.33446	
KG6PDHg6p (pp) rmaxG6PDH	133.39443	
KGAPDHgap (pp) KGAPDHpgp	64.552361	
KGAPDHgap (pp) rmaxGAPDH	35.770691	
KGAPDHpgp (pp) rmaxGAPDH	31.349401	
KPFKadpa (pp) KPFKadpb	31.247941	
KPFKampa (pp) KPFKampb	36.413758	
KPFKf6ps (pp) LPFK	58.893835	
KPFKf6ps (pp) nPFK	89.967165	
KPFKf6ps (pp) rmaxPFK	78.364962	
KPGDHnadp (pp) KPGDHnadphinh	39.918846	
KPGDHpg (pp) rmaxPGDH	190.7933	
KPGIg6p (pp) KPGIg6ppginh	92.420421	
KPGIg6p (pp) rmaxPGI	65.387889	
KPGIg6ppginh (pp) rmaxPGI	90.922718	
KPGKpg3 (pp) KPGKpgp	54.50832	
KPGKpg3 (pp) rmaxPGK	247.62579	
KPGKpgp (pp) rmaxPGK	54.030832	
LPFK (pp) nPFK	37.229623	
LPFK (pp) rmaxPFK	102.62893	
nDAHPSe4p (pp) rmaxDAHPS	22.801334	
nPDH (pp) rmaxPDH	52.775911	
nPFK (pp) rmaxPFK	41.925133	
rmaxSerSynth (pp) rmaxSynth1	29.003877	
kALDOdhap (pp) G1	20.232959	
KPTSg6p (pp) G1	20.232959	
nPTSg6p (pp) G1	20.232959	
kALDOeq (pp) G2	20.130065	
KPTSg6p (pp) G2	20.130065	
nPTSg6p (pp) G2	20.130065	
kALDOfdp (pp) G3	44.518209	
kALDOgapinh (pp) G3	44.518209	
rmaxALDO (pp) G3	44.518209	
kALDOfdp (pp) G4	20.59678	
KPTSg6p (pp) G4	20.59678	
nPTSg6p (pp) G4	20.59678	
kALDOgapinh (pp) G5	21.424711	
KPTSg6p (pp) G5	21.424711	
nPTSg6p (pp) G5	21.424711	
kALDOgapinh (pp) G6	34.646546	
kTISdhap (pp) G6	34.646546	
rmaxALDO (pp) G6	34.646546	
KDAHPSe4p (pp) G7	20.511217	
KpepCxylasefdp (pp) G7	20.511217	
rmaxpepCxylase (pp) G7	20.511217	
KDAHPSe4p (pp) G8	20.928544	
KPTSg6p (pp) G8	20.928544	
nPTSg6p (pp) G8	20.928544	
KDAHPSe4p (pp) G9	20.508561	
KR5PIeq (pp) G9	20.508561	
KRu5Peq (pp) G9	20.508561	
KDAHPSe4p (pp) G10	31.208819	
KR5PIeq (pp) G10	31.208819	
KTAeq (pp) G10	31.208819	
KDAHPSe4p (pp) G11	24.191854	
KR5PIeq (pp) G11	24.191854	
KTKaeq (pp) G11	24.191854	
KDAHPSe4p (pp) G12	51.968773	
KRu5Peq (pp) G12	51.968773	
KTAeq (pp) G12	51.968773	
KDAHPSe4p (pp) G13	40.071892	
KRu5Peq (pp) G13	40.071892	
KTKaeq (pp) G13	40.071892	
KENOeq (pp) G14	20.813681	
KPTSg6p (pp) G14	20.813681	
nPTSg6p (pp) G14	20.813681	
KG1PATfdp (pp) G15	20.004594	
KPTSg6p (pp) G15	20.004594	
nPTSg6p (pp) G15	20.004594	
KG6PDHnadp (pp) G16	20.159204	
KPTSg6p (pp) G16	20.159204	
nPTSg6p (pp) G16	20.159204	
KG6PDHnadphnadpinh (pp) G17	20.180362	
KPTSg6p (pp) G17	20.180362	
nPTSg6p (pp) G17	20.180362	
KGAPDHeq (pp) G18	23.541999	
KPTSg6p (pp) G18	23.541999	
nPTSg6p (pp) G18	23.541999	
KGAPDHeq (pp) G19	20.270802	
KPTSg6p (pp) G19	20.270802	
rmaxPTS (pp) G19	20.270802	
KGAPDHgap (pp) G20	31.122009	
KGAPDHnad (pp) G20	31.122009	
KPGKadp (pp) G20	31.122009	
KGAPDHgap (pp) G21	20.867224	
KPTSg6p (pp) G21	20.867224	
nPTSg6p (pp) G21	20.867224	
KGAPDHnad (pp) G22	29.11298	
KGAPDHpgp (pp) G22	29.11298	
KPGKadp (pp) G22	29.11298	
KGAPDHnad (pp) G23	25.626067	
KPGKadp (pp) G23	25.626067	
rmaxGAPDH (pp) G23	25.626067	
KGAPDHnad (pp) G24	21.07032	
KPTSg6p (pp) G24	21.07032	
nPTSg6p (pp) G24	21.07032	
KGAPDHpgp (pp) G25	20.867984	
KPTSg6p (pp) G25	20.867984	
nPTSg6p (pp) G25	20.867984	
KPDHpyr (pp) G26	20.21266	
KPFKampa (pp) G26	20.21266	
nPDH (pp) G26	20.21266	
KPDHpyr (pp) G27	20.928203	
KPFKampa (pp) G27	20.928203	
rmaxPDH (pp) G27	20.928203	
KPDHpyr (pp) G28	20.230612	
KPFKampb (pp) G28	20.230612	
nPDH (pp) G28	20.230612	
KPDHpyr (pp) G29	20.877454	
KPFKampb (pp) G29	20.877454	
rmaxPDH (pp) G29	20.877454	
KPDHpyr (pp) G30	20.006258	
